Indice;Mat_Simples;Mat_Dupla
0;;
1;1001;1001
2;1002;1002
3;1003;1003
4;1004;1004
5;1005;1005
6;1006;1006
7;1007;1007
8;1008;1008
9;1009;1009
10;1010;1010
11;1011;1011
12;1012;1012
13;1013;1013
14;1014;1014
15;1015;1015
16;1016;1016
17;1017;1017
18;1018;1018
19;1019;1019
20;1020;1020
21;2001;
22;2002;3022
23;2003;
24;2004;3024
25;2005;
26;2006;3026
27;2007;
28;2008;3028
29;2009;
30;2010;3030
31;2011;4031
32;2012;3032
33;2013;4033
34;2014;3034
35;2015;4035
36;2016;3036
37;2017;4037
38;2018;3038
39;2019;4039
40;2020;3040
41;3010;4041
42;3012;3042
43;3014;4043
44;3016;3044
45;3018;4045
46;3020;3046
47;3022;4047
48;3024;3048
49;3026;4049
50;3028;3050
51;3030;
52;3032;3052
53;3034;
54;3036;3054
55;3038;
56;3040;3056
57;3042;
58;3044;3058
59;3046;
60;3048;3060
61;3050;
62;3052;3062
63;3054;
64;3056;3064
65;3058;
66;3060;3066
67;3062;
68;3064;3068
69;3066;
70;3068;4046
71;4030;
72;4031;4044
73;4032;
74;4033;4042
75;4034;
76;4035;4040
77;4036;
78;4037;4038
79;4038;
80;4039;4036
81;4040;
82;4041;4034
83;4042;
84;4043;4032
85;4044;
86;4045;
87;4046;
88;4047;4048
89;4048;
90;4049;
91;;
92;;
93;;
94;;
95;;
96;;
97;;
98;;
99;;
100;;
101;;
102;;
103;;
104;;
105;;
106;;
107;;
108;;
109;;
110;;
111;;
112;;
113;;
114;;
115;;
116;;3020
117;;
118;;3018
119;;
120;;3016
121;;
122;;3014
123;;
124;;3012
125;;
126;;
127;;
128;;
129;;
130;;
131;;
132;;
133;;
134;;
135;;
136;;2020
137;;2019
138;;2018
139;;2017
140;;2016
141;;2015
142;;2014
143;;2013
144;;2012
145;;2011
146;;2010
147;;2009
148;;2008
149;;2007
150;;2006
151;;2005
152;;2004
153;;2003
154;;2002
155;;
156;;
157;;
158;;4030
159;;
160;;
161;;
162;;
163;;
164;;
165;;
166;;
167;;
168;;3010
169;;
170;;
171;;
172;;
173;;
174;;
175;;
176;;
177;;
178;;2001
179;;
180;;
181;;
182;;
183;;
184;;
185;;
186;;
187;;
188;;
189;;
190;;
191;;
192;;
193;;
194;;
195;;
196;;
197;;
198;;
199;;
